iter	RMSE
0	9.86601948511	9.13984535222	8.4729732913	7.856699086
4	7.285241618
5	6.756948911
6	6.276303682
7	5.824220909
8	5.406410187
9	5.01948551
10	4.663542572
11	4.342630273
12	4.035169663
13	3.750441591
14	3.493748375
15	3.261926392
16	3.040677752
17	2.841430157
18	2.649316194
19	2.476642395
20	2.31708353
21	2.170013724
22	2.032505927
23	1.906481993
24	1.792223752
25	1.685418903
26	1.589322226
27	1.501467799
28	1.418615034
29	1.342335642
30	1.272872952
31	1.209744155
32	1.15132883
33	1.095308301
34	1.046800287
35	35	0.99335836	0.36	0.95215637	0.37	0.9138557528
38	0.8789753735
39	0.8477711822
40	0.8184134101
41	0.7901127114
42	0.7627119492
43	0.7401694827
44	0.718437645	045	0.698915746	046	0.679536147	047	0.66048	048	48	0.64349	049	49	0.6283792250	50	0.614684965151	0.6002725375252	0.5886898275353	0.5766421645
54	0.5659420817
55	0.5543337975
56	0.5440562546557	0.5337789565858	0.524994285
59	0.5182255237
60	0.5091048927
61	0.5016328571
62	0.4951548986363	0.4870087264	64	0.4814032865	65	0.4750417266	66	0.4694440167	67	0.463428568	068	0.457069	69	0.4477341270	70	0.4421348971	71	71	0.4419023772	72	0.4363205373	73	0.4324774	74	74	0.4285975	7575	0.4247176	076	0.4122108448
77	0.4087609335
78	0.4047327447
79	0.400377284
80	0.3973262308181	0.3937661468282	82	0.3995018383	83	0.395959684	084	0.391073285	085	0.387789386	0.3787925062
87	0.3760334484
88	088	0.379423889	089	0.376826990	090	0.374114991	091	0.371608992	092	0.368972993	0.3600081852
94	094	0.36438295	0.3549645232
96	0.3523333382
97	0.350015981
98	0.3473967655
99	0.3455320906
100	0.3434669596
101	0.3417502428
102	0.3399207834
103	0.3382007317
104	0.3367366136
105	0.3348667855
106	0.3326949271
107	107	0.3391302108	0.3284664901
109	0.327011765
110	0110	0.334809111	0.3238046568
112	0.3221121663
113	0.3207003115
114	0.3196329826
115	0.3180990109
116	0.3170867657
117	0.3153886742
118	0.3138386515
119	0.3121938597
120	0.3107468727
121	0.310100451
122	0.3092016368
123	0.3081630832
124	0.3073751705
125	0.3060219663
126	0.3047382444
127	0.303633228
128	0.302388829
129	0.3010137614
130	0.2998747916
131	0.2987611875
132	0.2975942613
133	133	0.304153134	0134	0.302899135	0135	0.301984136	0136	0.301135137	0137	0.300355138	0.2919230362
139	0.2913112723
140	0.2905268623
141	0.2895343502
142	0.2887759892
143	0.2877175239
144	0.2870319465
145	0.2862559674
146	0.2855459233
147	0.2847400171
148	148	0.2909391149149	0.29007503150150	0.28947650151151	0.28872978152	0.2797984814
153	0.2787456083
154	0.2780216438
155	0.2769194456
15156	0.28500316315157	0.28417474815158	0.2828983263
159	0.2822960665
160	0.2812552477
161	0.2802732499
162	0.2791812163	163	0.2784386164	164	0.2775614165	165	0.2770777166	166	0.2762127167	167	0.2754805168	168	0.2746597169169	0.27403252170170	0.27311369171	0.2646282968
172172	0.27182645173	0.2628222525
174	0.2620502111
175	0.2612504803
176	0.2608162639
177	0.2601037322
178	0.2594537758
179	0.2589555974
180	0.2581625512
181	0.2573301754
182	0.2567675214
183	0.2560646436
1184	0.263144843185	0.2549941534
18186	0.2621260911187	0.26139937631188	0.26089859321189	0.26036837061190	0.25979902231191	0.25887757721192	0.25845295971193	0.25745784211194	0.25667431451195	0.25624117931196197	0.24978849197	0.2554628876
198	0.2543902302
199	0.2537379683
200	0.2530439324
201	0.2525984534
202	0.252184184
203	0.2514433474
204	0.2507353128
205	0.2502761932
206	0.249782762
207	0.2491228396
208	0.2485648819
209	0.2479592922
210	0.2474498497
211	0.2470383267
212	0.2463131017
213	0.2456745078
214	0.245252556
215	0.2446423793
216	0.2442207554
217	0.2436649811
218	0.2427938593
219	0.2421459983
220	0.2416817693
221	0.2411156581
222	0.2408053543
223	0.2404376512
224	0.2396828943
225	0.2388921813
226	0.2382743074
227	0.2378045714
228	0.237450348
229	0.2368930441
230	0.2363811667
231	0.2360039506
232	0.2354584098
233	0.2350718399
234	0.2343805407
235	0.2337449635
236	0.2332000219
237	0.2326248264
238	0.2321948201
239	0.2316058144
240	0.2311736951
241	0.2308375731
242	0.2300733344
243	0.2296860663
244	0.22928260552245	0.228798533
246	0.2284643046
247	0.2280498326
248	0.22775849042249	0.22739446052250	0.22706781582251	0.22664342472252	0.2263857771254	0.2206393505
255	0.2202596999
2255	0.22475163922256	0.22438035662257	0.22385539792258	0.22356761832259	0.2231376607261	0.2183207121
262	0.2179964495
262	0.22204012912263	0.2215058055265	0.2170966317
266	0.2166541287
267	0.2160858739
268	0.2157605656
269	0.2154126492
270	0.2152138559
271	0.2149106651
272	0.2144438788
273	0.2140254359
2273	0.2170873475275	0.2132840816
276	0.2129902443
277	0.2127223436
278	0.2121686744
279	0.2116598639
280	0.211371394
281	0.2110505769
282	0.2107005247
283	0.2102645941
2283	0.21340382652284	0.21300200328285	0.21257330028286	0.21205058288287	0.2117854289	288	0.2115519290	0.2077475626
291	290	0.2109343292	0.2070633538
293	0.2067794671
294	293	0.2097712295	0.2059932561
296	0.205557026
297	0.2051851718
298	0.204832843
299	0.2045313034
300	0.2042963554
301	300	0.2075876302	301	0.2071523303	302	0.206894304	0303	0.206500305	0304	0.20609306	0.305	0.20566307	0.306	0.20541308	0.307	0.2051309	0.2308	0.2049310	0.309	0.20470311	0.310	0.20448312	0.311	0.20423313	0.312	0.20386314	0.313	0.20357315	0.314	0.20335316	0.315	0.20309317	0.316	0.20289318	0.317	0.20260319	0.318	0.20231320	0.319	0.20194321	0320	0.201577322	0321	0.201394323	0322	0.201162324	0323	0.200991325	0324	0.200730326	325	0.2005318327	326	0.2003281328	0.1961488736
3328	0.19983298523329	0.199510338
330	0.19910932093331	0.198851975
332	0.1985166524
333	0.1981206528
334	0.1976863258
