iter	Passed	Remaining
0	101	101105
1	108	5422	12	124	41510
3	136	34076
4	143	28534
5	155	25804
6	163	237	177	22036
8	183	20256
9	206	20473
10	213	19166
11	233	19233
12	238	18142
13	246	17345
14	254	16707
15	262	16142
16	268	15523
17	276	15072
18	283	14613
19	305	14971
20	326	15213
21	339	15094
22	351	14925
23	358	14584
24	384	14977
25	389	14607
26	398	14366
27	404	14055
28	411	13783
29	421	13617
30	427	13351
31	434	13132
32	440	12907
33	451	12830
34	463	12789
35	523	14026
36	586	15266
37	593	15012
38	604	14888
39	609	14625
40	615	14397
41	621	14182
42	627	13976
43	633	13771
44	640	13584
45	646	13404
46	664	13473
47	673	13362
48	685	13305
49	692	13157
50	700	13028
51	708	12918
52	715	12784
53	721	12633
54	748	12857
55	810	13671
56	841	13926
57	847	13770
58	853	13604
59	866	13578
60	875	13480
61	884	13386
62	890	13251
63	897	13119
64	902	12988
65	911	12900
66	925	12893
67	934	128068	948	12799
69	971	12907
70	1024	13401
71	1053	13579
72	1084	13773
73	1097	13736
74	1103	13615
75	1118	13595
76	1127	13520
77	1149	13591
78	1166	13600
79	1181	13591
80	1190	13503
81	1199	13423
82	1207	13336
83	1216	13266
84	1241	13360
85	1269	13490
86	1290	13546
87	1334	13826
88	1339	13714
89	1345	13607
90	1352	13506
91	1358	13410
92	1365	13315
93	1372	13224
94	1378	13128
95	1384	13033
96	1390	12940
97	1396	12850
98	1411	12847
99	1421	12793
100	1427	12708
101	1433	12617
102	1450	12633
103	1460	12586
104	1472	12552
105	1478	12471
106	1503	12549
107	1536	12693
108	1583	12941
109	1590	12870
110	1597	12792
111	1603	12713
112	1611	12650
113	1622	12609
114	1628	12533
115	1641	12512
116	1647	12436
117	1654	12363
118	1660	12292
119	1666	12220
120	1675	12170
121	1683	12114
122	1692	12067
123	1701	12019
124	1708	11962
125	1714	11895
126	1725	11860
127	1732	11801
128	1745	11782
129	1751	11724
130	1763	11698
131	1770	11640
132	1780	11609
133	1787	11549
134	1792	11486
135	1801	11442
136	1810	11406
137	1816	11349
138	1822	11288
139	1828	11232
140	1842	11227
141	1854	11204
142	1868	11196
143	1873	11139
144	1879	11083
145	1888	11048
146	1894	10993
147	1900	10940
148	1907	10893
149	1914	10849
150	1922	10808
151	1929	10764
152	1935	10714
153	1941	10665
154	1947	10616
155	1957	10590
156	1963	10540
157	1968	10492
158	1987	10511
159	1992	10462
160	2067	10774
161	2081	10769
162	2096	10762
163	2101	10714
164	2110	10679
165	2116	10631
166	2122	10587
167	2128	10543
168	2148	10562
169	2154	10518
170	2160	10472
171	2168	10439
172	2174	10396
173	2184	10369
174	2190	10327
175	2196	10285
176	2208	10268
177	2215	10233
178	2222	10191
179	2239	10200
180	2251	10189
181	2257	10147
182	2263	10105
183	2276	10194	184	2282	1195	2297	9423
196	2319	9456
197	2326	9422
198	2332	9388
199	2338	9354
200	2351	9346
201	2358	9316
202	2363	9279
203	2371	9255
204	2383	9245
205	2402	9261
206	2408	9225
207	2414	9194
208	2420	9161
209	2426	9129
210	2432	9097
211	2439	90682212	2445	90352213	2451	90052214	2468	90122215	2474	89802216	2486	89712217	2494	89472218	2500	8917216	2525	9113
217	2535	9094
2221	2535	88862222	2547	8876
223	2553	8846
224	2559	88142225	2565	87842226	2589	8816
227	2595	8788
228	2601	87582229	2610	87402230	2615	87082231	2224	2646229	2649	8868
230	2668	8882
231	2679	8870
232	2684	8836
233	2694	8821
234	2713	8834
2238	2709	86262239	2716	86032240	2724	85792241	2730	8551239	2756	8729
240	2771	8729
241	2779	8707
242	2786	8682
243	2793	8656
244	2801	8632
245	2810	8613
246	2826	8616
247	2833	8592
248	2844	8578
249	2850	8552
250	2857	8525
251	2864	8503
252	2872	8481
253	2877	8452
2257	2874	82672258	2880	82412259	2886	82152260	2900	8213
261	2907	8188
262	2913	81632263	2918	81372264	2925	81152265	2932	80902266	2938	8261264	2958	82262265	2986	8240
266	2993	8218
267	3005	8209
268	3014	8190
269	3020	8166
270	3037	8172
271	3046	8155
272	3052	8130
273	3059	8107
274	3067	8087
275	3072	8061
276	3078	80274	3103	8180
275	3128	8207
276	3169	8273
277	3192	8290
278	3211	8298
279	3218	8274
280	3230	8266
281	3242	8256
282	3249	8232
283	3255	8206
284	3261	8181
285	3272	8170
286	3279	8147
287	3286	8123
288	3298	8115
289	3305	8093
290	3312	8071
291	3327	8069
292	3333	8044
293	3340	8021
294	3347	7999
295	3353	7976
296	3360	7954
297	3366	7930
298	3374	7910
299	3380	7887
300	3393	7880
301	3400	7858
302	3410	7844
303	3424	7841
304	3431	7818
305	3440	7802
306	3447	7782
307	3454	7760
308	3461	7740
309	3481	7749
310	3490	7732
311	3499	7716
312	3506	7696
313	3513	7676
314	3522	7661
315	3536	7655
316	3543	7634
317	3551	7616
318	3565	7611
319	3571	7589
320	3579	7570
321	3590	7560
322	3598	7542
323	3605	7523
324	3611	7501
325	3625	7494
326	3636	7484
327	3648	7475
328	3656	7458
329	3667	7445
330	3680	7438
331	3695	7435
332	3706	7423
333	3716	7410
334	3721	7387
335	3734	7379
336	3744	7367
337	3751	7347
338	3762	7336
339	3773	7324
340	3782	7310
341	3803	7318
342	3810	7298
343	3820	7285
344	3825	7262
345	3831	7243
346	3842	7230
347	3848	7209
348	3856	7194
349	3866	7181
350	3875	7165
351	3885	7152
352	3890	7131
353	3896	7110
354	3910	7105
355	3917	7085
356	3924	7067
357	3933	7054
358	3939	7034
359	3954	7030
360	3961	7012
361	3973	7002
362	3979	6983
363	3990	6973
364	3999	6958
365	4004	6937
366	4012	6920
367	4018	6900
368	4024	6881
369	4033	6867
370	4042	6853
371	4050	6837
372	4057	6819
373	4072	6816
374	4083	6806
375	4094	6795
376	4105	6784
377	4118	6777
378	4129	6765
379	4135	6748
380	4142	6729
381	4150	6714
382	4161	6704
383	4177	6701
384	4183	6682
385	4196	6675
386	4204	6659
387	4211	6643
388	4218	6626
389	4233	6621
390	4246	6613
391	4258	6605
392	4271	6597
393	4278	6581
394	4292	6575
395	4304	6565
396	4310	6546
397	4320	6535
398	4326	6517
399	4335	6502
400	4345	6491
401	4354	6477
402	4364	6465
403	4375	6454
404	4386	6444
405	4393	6427
406	4400	6412
407	4408	6396
408	4418	6383
409	4430	6375
410	4436	6357
411	4455	6359
412	4508	6408
413	4554	6446
414	4577	6451
415	4589	6442
416	4604	6436
417	4610	6419
418	4619	6405
419	4631	6395
420	4636	6376
421	4643	6360
422	4650	6343
423	4656	6326
424	4663	6309
425	4670	6293
426	4690	6294
427	4696	6277
428	4709	6268
429	4729	6269
430	4748	6268
431	4759	6257
432	4771	6248
433	4782	6236
434	4791	6223
435	4798	6207
436	4804	6190
437	4816	6179
438	4822	6162
439	4828	6145
440	4844	6140
441	4850	6123
442	4868	6121
443	4874	6103
444	4880	6086
445	4890	6074
446	4896	6057
447	4903	6042
448	4925	6044
449	4932	6028
450	4938	6011
451	4950	6002
452	4960	5989
453	4981	5990
454	4995	5984
455	5004	5970
456	5010	5953
457	5018	5938
458	5026	5924
459	5035	5911
460	5041	5894
461	5047	5878
462	5067	5877
463	5077	5865
464	5089	5855
465	5094	5838
466	5113	5836
467	5120	5820
468	5126	5804
469	5133	5788
470	5139	5772
471	5154	5765
472	5161	5750
473	5169	5736
474	5176	5720
475	5182	5705
476	5187	5687
477	5193	5671
478	5203	5659
479	5212	5647
480	5218	5630
481	5226	480	5241	5656
481	5267	5661
482	5295	5668
483	5311	5662
484	5322	5652
485	5328	5635
486	5335	5620
487	5348	5611
488	5354	5595
489	5361	5579
490	5367	5564
491	5373	5547
492	5383	5536
493	5391	5522
494	5401	5510
495	5407	5495
496	5415	5481
497	5430	5474
498	5435	5457
499	5443	5443
500	5457	5436
501	5476	5432
502	5482	5417
503	5489	5402
504	5500	5391
505	5506	5375
506	5512	5359
507	5519	5345
508	5525	5329
509	5535	5318
510	5546	5307
511	5552	5292
512	5560	5278
513	5566	5263
514	5577	5252
515	5583	5237
516	5602	5234
517	5609	5219
518	5616	5204
519	5629	5196
520	5635	5180
521	5641	5165
522	5652	5155
523	5667	5148
524	5683	5142
525	5705	5141
526	5713	5128
527	5719	5112
528	5727	5099
529	5735	5085
530	5741	5070
531	5754	5062
532	5762	5049
533	5772	5037
534	5777	5021
535	5804	5024
536	5815	5014
537	5822	4999
538	5834	4990
539	5839	4974
540	5846	4960
541	5852	4945
542	5859	4931
543	5865	4917
544	5890	4917
545	5899	4905
546	5909	4893
547	5924	4886
548	5930	4872
549	5945	4864
550	5976	4870
551	6033	4897
552	6068	4905
553	6088	4901
554	6102	4892
555	6118	4886
556	6125	4871
557	6136	4861
558	6143	4846
559	6151	4833
560	6160	4820
561	6167	4806
562	6181	4798
563	6206	4798
564	6223	4791
565	6232	4779
566	6240	4766
567	6266	4766
568	6279	4756
569	6297	4750
570	6304	4736
571	6311	4722
572	6318	4708
573	6334	4701
574	6357	4698
